trial_id,condition,noise_seed,offset_id,start_radius,start_angle_rad,start_x,start_y,status,success,transition_time,first_entry_time,relapse,control_cost_l2,control_effort_l1,endpoint_x,endpoint_y,endpoint_distance_to_c2,endpoint_nearest_cluster,min_distance_to_c2,path_length,steps_completed
O00-N05-capture_hook_lock_on,capture_hook_lock_on,5,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,3.651641461675847,5.94582371480238,13.402391527714736,25.89015800936207,0.1469444683176811,C2,0.016423929391992203,6.151414278521636,1250
O00-N06-free_field,free_field,6,0,0.0,,11.0,28.5,TIMEOUT,False,,,False,0.0,0.0,12.942813002751537,32.07577697981657,6.101272265550168,C3,3.384247162430352,5.321422598257712,1250
O00-N06-minimal_control,minimal_control,6,0,0.0,,11.0,28.5,SUCCESS,True,3.48,3.54,False,0.40000000000000324,2.0000000000000013,13.297372718950928,25.824565774093738,0.2680204892254859,C2,0.13708039995860907,7.217258792050298,1250
O00-N06-capture_hook_lock_off,capture_hook_lock_off,6,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,2.945452960862098,1.8800340709619299,13.297372718950793,25.82456577409362,0.2680204892256646,C2,0.020288444927364244,6.219128089284016,1250
O00-N06-capture_hook_lock_on,capture_hook_lock_on,6,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,3.6641044070942823,5.975383629126636,13.397971067117233,25.893886850619168,0.14720700940075834,C2,0.006425280038087339,6.1689015599632775,1250
O00-N07-free_field,free_field,7,0,0.0,,11.0,28.5,TIMEOUT,False,,,False,0.0,0.0,12.765917610822601,32.15554104181585,6.19915820669063,C3,3.3968941626326568,5.35747175886014,1250
O00-N07-minimal_control,minimal_control,7,0,0.0,,11.0,28.5,SUCCESS,True,3.64,3.7,False,0.40000000000000324,2.0000000000000013,13.307218020628683,25.828361275224253,0.25811769294832787,C2,0.1480025028155837,7.337969710401257,1250
O00-N07-capture_hook_lock_off,capture_hook_lock_off,7,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,2.944129402662891,1.8797431358007268,13.307218020628593,25.82836127522413,0.2581176929484782,C2,0.019631208060516804,6.202911317561584,1250
O00-N07-capture_hook_lock_on,capture_hook_lock_on,7,0,0.0,,11.0,28.5,SUCCESS,True,1.22,1.24,False,3.658729582371704,5.961368130962232,13.408852370851108,25.89634294675783,0.13803142753124764,C2,0.014448074168438067,6.1585135744317,1250
O01-N00-free_field,free_field,0,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.704665227924293,30.70346578545264,4.855286676015486,C3,3.236459458679547,5.182469820249373,1250
O01-N00-minimal_control,minimal_control,0,1,0.2,0.0,11.2,28.5,SUCCESS,True,3.74,3.8000000000000003,False,0.40000000000000324,2.0000000000000013,13.311033475612085,25.830586332352794,0.25378994882565054,C2,0.15907364623193854,7.476271237743397,1250
O01-N00-capture_hook_lock_off,capture_hook_lock_off,0,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.875318804304843,1.8269308728005416,13.311033475612117,25.830586332352706,0.253789948825686,C2,0.03765098945952624,6.16963077932867,1250
O01-N00-capture_hook_lock_on,capture_hook_lock_on,0,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.611530940994634,5.978268852669956,13.408525058193243,25.896361178891222,0.1382341138046855,C2,0.024786416214921704,6.104303543111161,1250
O01-N01-free_field,free_field,1,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.647338146878543,30.809749881726013,4.944702088907489,C3,3.2189972907814575,5.221625160706079,1250
O01-N01-minimal_control,minimal_control,1,1,0.2,0.0,11.2,28.5,SUCCESS,True,3.8000000000000003,3.86,False,0.40000000000000324,2.0000000000000013,13.288774664809631,25.81886516191031,0.27825522779646356,C2,0.16090162725522025,7.514036409003896,1250
O01-N01-capture_hook_lock_off,capture_hook_lock_off,1,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.885605177798078,1.8300081724736976,13.288774664809592,25.818865161910217,0.27825522779655343,C2,0.030079250089155397,6.152343189464277,1250
O01-N01-capture_hook_lock_on,capture_hook_lock_on,1,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.596523196119581,5.906133414950632,13.39328946215764,25.889994064360884,0.15325940350413447,C2,0.021225473597223467,6.102632072732851,1250
O01-N02-free_field,free_field,2,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.411444404711661,31.029825472658015,5.111738959324861,C3,3.2439686254128404,5.183501078037802,1250
O01-N02-minimal_control,minimal_control,2,1,0.2,0.0,11.2,28.5,SUCCESS,True,3.94,4.0,False,0.40000000000000324,2.0000000000000013,13.303733297825135,25.817951602328787,0.26769803413034904,C2,0.1639251960089146,7.584136727883955,1250
O01-N02-capture_hook_lock_off,capture_hook_lock_off,2,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.861896705532575,1.8231950152423875,13.303733297825074,25.81795160232867,0.26769803413047305,C2,0.02679805044978081,6.158520160939811,1250
O01-N02-capture_hook_lock_on,capture_hook_lock_on,2,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.5822239305552013,5.924551236099819,13.404512506985427,25.88717623657443,0.14780751982127738,C2,0.019613697867913362,6.102034022260622,1250
O01-N03-free_field,free_field,3,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.241505639954436,31.212379549689082,5.26485813523035,C3,3.248564623274764,5.183105476938679,1250
O01-N03-minimal_control,minimal_control,3,1,0.2,0.0,11.2,28.5,SUCCESS,True,3.92,3.98,False,0.40000000000000324,2.0000000000000013,13.300462968453488,25.82151430050836,0.26771658873034837,C2,0.16464488691231802,7.550875551219145,1250
O01-N03-capture_hook_lock_off,capture_hook_lock_off,3,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,2.858689669400156,1.8223678829148873,13.300462968453463,25.82151430050825,0.267716588730438,C2,0.027377557903051544,6.148213705080194,1250
O01-N03-capture_hook_lock_on,capture_hook_lock_on,3,1,0.2,0.0,11.2,28.5,SUCCESS,True,1.18,1.2,False,3.573753743959635,5.906606039630839,13.40362160388681,25.891612446171273,0.14504019119653078,C2,0.019003260816346776,6.091422428981833,1250
O01-N04-free_field,free_field,4,1,0.2,0.0,11.2,28.5,TIMEOUT,False,,,False,0.0,0.0,14.89368697609181,30.543134762784863,4.7520981534636055,C3,3.211797918730727,5.2405727446247745,1250
