corpus,series_id,from_cycle,to_cycle,from_value_deg,to_value_deg,delta_raw_deg,delta2_signed_centideg,abs_delta2_centideg,target_plus11,janus_minus11,prespecified_control,delta3_signed_millideg,same_physical_plus011_exact_at_p3
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,8,9,-0.6333660925008076,-0.6274537479502271,0.005912344550580428,0,0,0,0,0,6,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,9,10,-0.6274537479502271,-0.6156405268895639,0.011813221060663182,1,1,0,0,0,11,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,1,2,-0.4806114513166051,-0.550099726752677,-0.06948827543607194,-7,7,0,0,0,-69,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,2,3,-0.550099726752677,-0.5007499921134695,0.049349734639207554,5,5,0,0,0,49,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,3,4,-0.5007499921134695,-0.4711202681708926,0.029629723942576902,3,3,0,0,0,30,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,4,5,-0.4711202681708926,-0.4428428624910623,0.02827740567983028,3,3,0,0,0,28,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,5,6,-0.4428428624910623,-0.43699776272632107,0.005845099764741235,0,0,0,0,0,6,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,6,7,-0.43699776272632107,-0.4142944870067993,0.022703275719521798,3,3,0,0,0,23,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,7,8,-0.4142944870067993,-0.4071147420051773,0.0071797450016219955,0,0,0,0,0,7,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,8,9,-0.4071147420051773,-0.39103243840210666,0.016082303603070613,2,2,0,0,0,16,0
KAPPA_CYCLE_36,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,9,10,-0.39103243840210666,-0.31610676191013454,0.07492567649197213,7,7,0,0,0,75,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,2,3,-0.5008397344844866,-0.3977491602457235,0.10309057423876311,10,10,0,0,1,103,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,3,4,-0.3977491602457235,-0.2930490020216894,0.10470015822403411,11,11,1,0,0,105,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,4,5,-0.2930490020216894,-0.22526561807552525,0.06778338394616412,6,6,0,0,0,68,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,5,6,-0.22526561807552525,-0.20930893196262446,0.015956686112900798,2,2,0,0,0,16,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,6,7,-0.20930893196262446,-0.207474108827995,0.0018348231346294597,0,0,0,0,0,2,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,7,8,-0.207474108827995,-0.17496539906281328,0.03250870976518172,4,4,0,0,0,32,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,8,9,-0.17496539906281328,-0.12539598784985628,0.04956941121295699,4,4,0,0,0,50,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,2,3,-0.5415104549768444,-0.40464589101296156,0.1368645639638828,14,14,0,0,0,137,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,3,4,-0.40464589101296156,-0.2781795515961676,0.12646633941679397,12,12,0,0,1,127,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,4,5,-0.2781795515961676,-0.18156298528714387,0.09661656630902371,10,10,0,0,1,96,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,5,6,-0.18156298528714387,-0.18231807188462312,-0.0007550865974792487,0,0,0,0,0,0,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,6,7,-0.18231807188462312,-0.1602990783823941,0.022018993502229023,2,2,0,0,0,22,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,7,8,-0.1602990783823941,-0.1576464586522377,0.0026526197301564025,0,0,0,0,0,2,0
KAPPA_CYCLE_36,P10_BEFORE_AFTER_EQ|kappa_B_minus_A|a2,8,9,-0.1576464586522377,-0.1656199777668803,-0.007973519114642613,-1,1,0,0,0,-8,0
