corpus,carrier_id,series_id,pair,cut,actuator,cycle,value_kind,value_deg,n2_signed_centideg,block2_abs_mod100,station11_hit,n3_signed_millideg,block3_last2_abs_mod100
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c9,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,9,cycle_phase_deg,4.32312493043591,432,32,0,4323,23
ABS_PHASE_72,abs|P05_BEFORE_AFTER_EQ|B|a2|c10,P05_BEFORE_AFTER_EQ|B|a2,P05_BEFORE_AFTER_EQ,B,2,10,cycle_phase_deg,4.2617891477670184,426,26,0,4262,62
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c2,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,2,cycle_phase_deg,6.1471509260146036,615,15,0,6147,47
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c3,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,3,cycle_phase_deg,5.8514462699164085,585,85,0,5851,51
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c4,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,4,cycle_phase_deg,5.644766401386335,564,64,0,5645,45
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c5,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,5,cycle_phase_deg,5.528699328969509,553,53,0,5529,29
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c6,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,6,cycle_phase_deg,5.449195323620415,545,45,0,5449,49
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c7,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,7,cycle_phase_deg,5.408245541710727,541,41,0,5408,8
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c8,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,8,cycle_phase_deg,5.353718915063467,535,35,0,5354,54
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a1|c9,P10_BEFORE_AFTER_EQ|A|a1,P10_BEFORE_AFTER_EQ,A,1,9,cycle_phase_deg,5.291376494440499,529,29,0,5291,91
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c2,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,2,cycle_phase_deg,5.646311191530117,565,65,0,5646,46
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c3,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,3,cycle_phase_deg,5.453697109670685,545,45,0,5454,54
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c4,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,4,cycle_phase_deg,5.351717399364645,535,35,0,5352,52
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c5,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,5,cycle_phase_deg,5.303433710893984,530,30,0,5303,3
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c6,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,6,cycle_phase_deg,5.239886391657791,524,24,0,5240,40
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c7,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,7,cycle_phase_deg,5.200771432882732,520,20,0,5201,1
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c8,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,8,cycle_phase_deg,5.178753516000654,518,18,0,5179,79
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a1|c9,P10_BEFORE_AFTER_EQ|B|a1,P10_BEFORE_AFTER_EQ,B,1,9,cycle_phase_deg,5.165980506590643,517,17,0,5166,66
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c2,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,2,cycle_phase_deg,6.117881786269294,612,12,0,6118,18
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c3,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,3,cycle_phase_deg,5.693993104433474,569,69,0,5694,94
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c4,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,4,cycle_phase_deg,5.447312820284424,545,45,0,5447,47
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c5,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,5,cycle_phase_deg,5.293486965439314,529,29,0,5293,93
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c6,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,6,cycle_phase_deg,5.2189969366777405,522,22,1,5219,19
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c7,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,7,cycle_phase_deg,5.160571521328791,516,16,0,5161,61
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c8,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,8,cycle_phase_deg,5.124734413418594,512,12,0,5125,25
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|A|a2|c9,P10_BEFORE_AFTER_EQ|A|a2,P10_BEFORE_AFTER_EQ,A,2,9,cycle_phase_deg,5.084534058035956,508,8,0,5085,85
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c2,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,2,cycle_phase_deg,5.576371331292449,558,58,0,5576,76
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c3,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,3,cycle_phase_deg,5.289347213420513,529,29,0,5289,89
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c4,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,4,cycle_phase_deg,5.169133268688256,517,17,0,5169,69
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c5,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,5,cycle_phase_deg,5.11192398015217,511,11,1,5112,12
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c6,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,6,cycle_phase_deg,5.036678864793117,504,4,0,5037,37
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c7,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,7,cycle_phase_deg,5.000272442946397,500,0,1,5000,0
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c8,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,8,cycle_phase_deg,4.967087954766356,497,97,0,4967,67
ABS_PHASE_72,abs|P10_BEFORE_AFTER_EQ|B|a2|c9,P10_BEFORE_AFTER_EQ|B|a2,P10_BEFORE_AFTER_EQ,B,2,9,cycle_phase_deg,4.918914080269076,492,92,0,4919,19
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c1,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,1,paired_cycle_kappa_deg,-1.0012315667327698,-100,0,1,-1001,1
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c2,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,2,paired_cycle_kappa_deg,-0.7640094109027586,-76,76,0,-764,64
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c3,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,3,paired_cycle_kappa_deg,-0.7030591937730435,-70,70,0,-703,3
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c4,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,4,paired_cycle_kappa_deg,-0.6702281307511271,-67,67,0,-670,70
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c5,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,5,paired_cycle_kappa_deg,-0.6568711694115166,-66,66,1,-657,57
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c6,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,6,paired_cycle_kappa_deg,-0.6519093448174829,-65,65,0,-652,52
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c7,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,7,paired_cycle_kappa_deg,-0.6384388521964013,-64,64,0,-638,38
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c8,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,8,paired_cycle_kappa_deg,-0.6333660925008076,-63,63,0,-633,33
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c9,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,9,paired_cycle_kappa_deg,-0.6274537479502271,-63,63,0,-627,27
KAPPA_CYCLE_36,kappa|P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1|c10,P05_BEFORE_AFTER_EQ|kappa_B_minus_A|a1,P05_BEFORE_AFTER_EQ,B_MINUS_A,1,10,paired_cycle_kappa_deg,-0.6156405268895639,-62,62,0,-616,16
