source_file,pair,cut,frequency_hz,nominal_mm,cycle,actuator,phase_deg,gain_kn_per_mm,displacement_real,displacement_imag,force_real,force_imag
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,6,1,4.6594219549020295,0.6043445076165201,-0.9348137992290351,-19.99165239270532,0.4183577803444585,-12.087809196838812
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,7,1,4.637372967890968,0.6052566485259988,-0.9347093949000742,-19.991932806805828,0.4144071445837545,-12.106377802194283
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,8,1,4.617562567676288,0.6060101151647155,-0.9346244552566203,-19.992230285494003,0.41079775137476093,-12.121766968553104
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,9,1,4.594723524337184,0.6070321893237848,-0.9351303751035229,-19.99251468523721,0.4063581763232984,-12.142570839557205
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,10,1,4.849414422788385,0.6120635352466067,0.7246775026055015,-18.806902630086057,1.415070619717023,-11.432317181629593
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,1,2,5.326649810615351,0.5704037380836063,-2.5275222349489015,-18.654363637671295,-0.4476834027503258,-10.728408138457908
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,2,2,5.079307910724651,0.5712145623592245,-1.0113704371019812,-19.995488931946102,0.4357757273736209,-11.428009844208415
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,3,2,4.979048218982399,0.5720395546263962,-1.0090704995444537,-19.994515027586473,0.41764046966925195,-11.444591989620152
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,4,2,4.910532272744149,0.5731643457471907,-1.0082872318735845,-19.99463490390435,0.4052018640928088,-11.467617522329048
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,5,2,4.855249929460882,0.574464103850452,-1.0085060865903648,-19.99441543564983,0.3948948802434067,-11.493894020900818
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,6,2,4.823539228291878,0.575462342559333,-1.0081479406096205,-19.99454223968921,0.38942010882275,-11.514139364711781
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,7,2,4.782527205419797,0.5766211322988057,-1.0083485735649007,-19.993458522047995,0.3817784281778869,-11.536988288576577
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,8,2,4.750625297081484,0.5777683293290578,-1.008436416499872,-19.994059134969568,0.37607958619828796,-11.560502541584615
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,9,2,4.714157368838016,0.5787882386224091,-1.0077389308146403,-19.99523178497771,0.36983041805934724,-11.58179048194891
07_4wires_sin20mm_0p5Hz.csv,P05_BEFORE_AFTER_EQ,A,0.5,20.0,10,2,4.577895909677153,0.5821288947108394,0.6581066322863003,-18.810707267250656,1.2558685132775622,-10.88474499500579
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,1,2,4.8460383592987455,0.6027052279997531,-2.5191472067221223,-18.649194972136847,-0.5633399210287195,-11.328051809247505
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,2,2,4.529208183971974,0.6000860964841365,-1.004836272604066,-19.987848036588115,0.3460623759457193,-12.004589940981512
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,3,2,4.4782982268689295,0.6000390646967932,-1.0030364195679633,-19.988004502076535,0.33645333486622,-12.00396108241177
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,4,2,4.439412004573256,0.6006309967658874,-1.0015084145076072,-19.98772251541608,0.32953203248859086,-12.015788765467754
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,5,2,4.41240706696982,0.6013176499404723,-1.0022221410645176,-19.988307197723202,0.32383805098749985,-12.030063166134955
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,6,2,4.386541465565557,0.6022638928311383,-1.0027353058839927,-19.98941556568271,0.31865111867501605,-12.049828271097734
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,7,2,4.368232718412997,0.6030404052509618,-1.0023574495234224,-19.98926762713371,0.3154268901668895,-12.065359416823489
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,8,2,4.343510555076307,0.6039300745681792,-1.0027059254429953,-19.98988707765105,0.31049701504150473,-12.08368366446768
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,9,2,4.32312493043591,0.6047332663827168,-1.002514831204445,-19.98994979554989,0.3067229822349262,-12.099893223052536
09_4wires_sin20mm_0p5Hz_after_EQ.csv,P05_BEFORE_AFTER_EQ,B,0.5,20.0,10,2,4.2617891477670184,0.6089578463702742,0.6593164652018744,-18.80730403467887,1.2514896189000881,-11.39135060645231
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,2,1,6.1471509260146036,0.4452553705649867,-6.644046826180227,-38.955202006289234,-1.083943660749767,-17.562063178675313
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,3,1,5.8514462699164085,0.44562291056153175,-6.634258226950149,-38.81459335201532,-1.1775852405168918,-17.507950339869744
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,4,1,5.644766401386335,0.44639719453718024,-6.412363974467565,-39.04648048802423,-1.134134396013721,-17.627270562205688
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,5,1,5.528699328969509,0.448573328061467,-6.401644660932294,-39.05370864895109,-1.1704449545350761,-17.713620417725657
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,6,1,5.449195323620415,0.451289023241897,-6.4299984868318765,-38.956103592645945,-1.2191790012427597,-17.776574941253426
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,7,1,5.408245541710727,0.4534000460766619,-6.404624307674897,-39.028232431969336,-1.2231104476833408,-17.89032284642217
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,8,1,5.353718915063467,0.4557056814607617,-6.370161875320754,-39.06552920598409,-1.2292198658643096,-17.995577766285887
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,9,1,5.291376494440499,0.4581312779662313,-6.356570943791615,-39.06402380522746,-1.2493104952760987,-18.088747040493622
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,2,1,5.646311191530117,0.4700406461050059,-6.602461751429376,-38.968359574002804,-1.2862363899270393,-18.533181512602447
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,3,1,5.453697109670685,0.4702452676611705,-6.43419947079309,-39.038057778827465,-1.2672386060233247,-18.561925652477015
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,4,1,5.351717399364645,0.471443050840787,-6.371674579903801,-39.057858873021736,-1.2733674918324476,-18.61345992750153
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,5,1,5.303433710893984,0.4731217357898634,-6.358260689339313,-39.06784253190422,-1.286886924588663,-18.68277070576578
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,6,1,5.239886391657791,0.47463868122692704,-6.365654005240092,-39.0661216254766,-1.3153689736919572,-18.74073597284979
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,7,1,5.200771432882732,0.4768184147013698,-6.355950405807523,-39.07210888209613,-1.329395557984856,-18.828318221156756
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,8,1,5.178753516000654,0.4789358133445803,-6.357975807738131,-39.0653774163071,-1.3438235357206363,-18.908291029888282
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,9,1,5.165980506590643,0.48047633109984844,-6.351920801808306,-39.06809177907169,-1.349359872508281,-18.969846284328057
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,2,2,6.117881786269294,0.4408017283460155,-7.024011230720428,-38.792674947917114,-1.2561534484298362,-17.332465006846373
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,3,2,5.693993104433474,0.4390236191467558,-6.884174435330386,-38.85924619594603,-1.3147752201580345,-17.275812138979553
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,4,2,5.447312820284424,0.4396768684223299,-6.839843269607709,-38.89746022183274,-1.3702104151077443,-17.310564094754504
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,5,2,5.293486965439314,0.44123806679198996,-6.801497280372747,-38.90965120706925,-1.404366776438979,-17.372071053875445
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,6,2,5.2189969366777405,0.4429415260917862,-6.801642327563765,-38.911324792500764,-1.432456435516734,-17.43803475919845
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,7,2,5.160571521328791,0.4449526733275861,-6.792133091891448,-38.91180897444453,-1.4525888506819475,-17.51556856941685
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,8,2,5.124734413418594,0.4468774683293248,-6.780601768343127,-38.91051669957321,-1.4647942801337748,-17.589386747116972
08_4wires_sin40mm_1p0Hz.csv,P10_BEFORE_AFTER_EQ,A,1.0,40.0,9,2,5.084534058035956,0.4483255969919455,-6.762132924726191,-38.91861121994191,-1.4733527710748962,-17.648231491604925
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,2,2,5.576371331292449,0.46751007710908915,-6.950465554707299,-38.84746189290273,-1.469229605258605,-18.391384717511258
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,3,2,5.289347213420513,0.4666135120666955,-6.8015045228155095,-38.91531068176701,-1.486218689024568,-18.37365522230973
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,4,2,5.169133268688256,0.46792117734940325,-6.752804940894121,-38.934659992461455,-1.5055281685095006,-18.428943129896762
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,5,2,5.11192398015217,0.46945608642227227,-6.7411190638161544,-38.943524220061164,-1.523092469810607,-18.49153368826792
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,6,2,5.036678864793117,0.4709630734728702,-6.730197798846758,-38.943492673544725,-1.547220455519064,-18.548403788269866
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,7,2,5.000272442946397,0.4724736757175828,-6.743319104662877,-38.935227125323095,-1.5705227541016327,-18.60355725335277
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,8,2,4.967087954766356,0.4742075896306958,-6.740247114611286,-38.94076137567695,-1.5854218985788462,-18.673402083211094
10_4wires_sin40mm_1p0Hz_after_EQ.csv,P10_BEFORE_AFTER_EQ,B,1.0,40.0,9,2,4.918914080269076,0.47601278873347525,-6.733128912034335,-38.93870329102466,-1.6039250256463893,-18.741876110309605
