corpus,view,operator,precision,record_count,palindrome_count,palindrome_fraction,palindrome_uniform_digit_null,palindrome_enrichment_p,prime_code_count,prime_code_fraction,prime_code_uniform_integer_null,prime_code_enrichment_p,palindrome_enrichment_fdr,prime_code_enrichment_fdr
SUMMARY_12,cycle_fraction,ROUND_HALF_UP,2,12,4,0.3333333333333333,0.1,0.025637470165000006,2,0.16666666666666666,0.25,0.8416182398796082,0.5460219159773805,1.0
SUMMARY_12,cycle_fraction,ROUND_HALF_UP,3,12,0,0.0,0.1,1.0,2,0.16666666666666666,0.168,0.6233859011356582,1.0,1.0
SUMMARY_12,cycle_fraction,ROUND_HALF_UP,4,12,0,0.0,0.01,1.0,4,0.3333333333333333,0.1229,0.05006349221769917,1.0,0.7761594406582363
SUMMARY_12,cycle_fraction,ROUND_HALF_UP,5,12,0,0.0,0.01,1.0,1,0.08333333333333333,0.09592,0.7018173686038648,1.0,1.0
SUMMARY_12,cycle_fraction,ROUND_HALF_UP,6,12,0,0.0,0.001,1.0,2,0.16666666666666666,0.078498,0.24180071003650278,1.0,1.0
SUMMARY_12,cycle_fraction,TRUNCATE_TOWARD_ZERO,2,12,4,0.3333333333333333,0.1,0.025637470165000006,0,0.0,0.25,1.0,0.5460219159773805,1.0
SUMMARY_12,cycle_fraction,TRUNCATE_TOWARD_ZERO,3,12,2,0.16666666666666666,0.1,0.3409977482110001,2,0.16666666666666666,0.168,0.6233859011356582,1.0,1.0
SUMMARY_12,cycle_fraction,TRUNCATE_TOWARD_ZERO,4,12,0,0.0,0.01,1.0,5,0.4166666666666667,0.1229,0.010508106980245643,1.0,0.5354005184483132
SUMMARY_12,cycle_fraction,TRUNCATE_TOWARD_ZERO,5,12,0,0.0,0.01,1.0,2,0.16666666666666666,0.09592,0.3221826725125815,1.0,1.0
SUMMARY_12,cycle_fraction,TRUNCATE_TOWARD_ZERO,6,12,0,0.0,0.001,1.0,3,0.25,0.078498,0.06223477949518828,1.0,0.7779347436898535
SUMMARY_12,degrees,ROUND_HALF_UP,2,12,3,0.25,0.1,0.11086997774500003,2,0.16666666666666666,0.25,0.8416182398796082,1.0,1.0
SUMMARY_12,degrees,ROUND_HALF_UP,3,12,2,0.16666666666666666,0.1,0.3409977482110001,2,0.16666666666666666,0.168,0.6233859011356582,1.0,1.0
SUMMARY_12,degrees,ROUND_HALF_UP,4,12,0,0.0,0.01,1.0,1,0.08333333333333333,0.1229,0.7927047588811453,1.0,1.0
SUMMARY_12,degrees,ROUND_HALF_UP,5,12,0,0.0,0.01,1.0,0,0.0,0.09592,1.0,1.0,1.0
SUMMARY_12,degrees,ROUND_HALF_UP,6,12,0,0.0,0.001,1.0,2,0.16666666666666666,0.078498,0.24180071003650278,1.0,1.0
SUMMARY_12,degrees,TRUNCATE_TOWARD_ZERO,2,12,1,0.08333333333333333,0.1,0.7175704635190001,5,0.4166666666666667,0.25,0.15764367580413818,1.0,1.0
SUMMARY_12,degrees,TRUNCATE_TOWARD_ZERO,3,12,1,0.08333333333333333,0.1,0.7175704635190001,2,0.16666666666666666,0.168,0.6233859011356582,1.0,1.0
SUMMARY_12,degrees,TRUNCATE_TOWARD_ZERO,4,12,0,0.0,0.01,1.0,1,0.08333333333333333,0.1229,0.7927047588811453,1.0,1.0
SUMMARY_12,degrees,TRUNCATE_TOWARD_ZERO,5,12,0,0.0,0.01,1.0,0,0.0,0.09592,1.0,1.0,1.0
SUMMARY_12,degrees,TRUNCATE_TOWARD_ZERO,6,12,0,0.0,0.001,1.0,0,0.0,0.078498,1.0,1.0,1.0
SUMMARY_12,phi_scaled_control,ROUND_HALF_UP,2,12,1,0.08333333333333333,0.1,0.7175704635190001,4,0.3333333333333333,0.25,0.35122138261795044,1.0,1.0
SUMMARY_12,phi_scaled_control,ROUND_HALF_UP,3,12,1,0.08333333333333333,0.1,0.7175704635190001,2,0.16666666666666666,0.168,0.6233859011356582,1.0,1.0
SUMMARY_12,phi_scaled_control,ROUND_HALF_UP,4,12,0,0.0,0.01,1.0,3,0.25,0.1229,0.1755278386303942,1.0,1.0
SUMMARY_12,phi_scaled_control,ROUND_HALF_UP,5,12,0,0.0,0.01,1.0,1,0.08333333333333333,0.09592,0.7018173686038648,1.0,1.0
SUMMARY_12,phi_scaled_control,ROUND_HALF_UP,6,12,0,0.0,0.001,1.0,0,0.0,0.078498,1.0,1.0,1.0
SUMMARY_12,phi_scaled_control,TRUNCATE_TOWARD_ZERO,2,12,1,0.08333333333333333,0.1,0.7175704635190001,2,0.16666666666666666,0.25,0.8416182398796082,1.0,1.0
SUMMARY_12,phi_scaled_control,TRUNCATE_TOWARD_ZERO,3,12,1,0.08333333333333333,0.1,0.7175704635190001,1,0.08333333333333333,0.168,0.8899779037025518,1.0,1.0
SUMMARY_12,phi_scaled_control,TRUNCATE_TOWARD_ZERO,4,12,0,0.0,0.01,1.0,2,0.16666666666666666,0.1229,0.44414812725181363,1.0,1.0
SUMMARY_12,phi_scaled_control,TRUNCATE_TOWARD_ZERO,5,12,0,0.0,0.01,1.0,3,0.25,0.09592,0.10065351550223123,1.0,1.0
SUMMARY_12,phi_scaled_control,TRUNCATE_TOWARD_ZERO,6,12,0,0.0,0.001,1.0,2,0.16666666666666666,0.078498,0.24180071003650278,1.0,1.0
SUMMARY_12,radians_pi,ROUND_HALF_UP,2,12,2,0.16666666666666666,0.1,0.3409977482110001,0,0.0,0.25,1.0,1.0,1.0
SUMMARY_12,radians_pi,ROUND_HALF_UP,3,12,1,0.08333333333333333,0.1,0.7175704635190001,4,0.3333333333333333,0.168,0.12803646737207977,1.0,1.0
SUMMARY_12,radians_pi,ROUND_HALF_UP,4,12,0,0.0,0.01,1.0,2,0.16666666666666666,0.1229,0.44414812725181363,1.0,1.0
SUMMARY_12,radians_pi,ROUND_HALF_UP,5,12,0,0.0,0.01,1.0,2,0.16666666666666666,0.09592,0.3221826725125815,1.0,1.0
SUMMARY_12,radians_pi,ROUND_HALF_UP,6,12,0,0.0,0.001,1.0,3,0.25,0.078498,0.06223477949518828,1.0,0.7779347436898535
SUMMARY_12,radians_pi,TRUNCATE_TOWARD_ZERO,2,12,3,0.25,0.1,0.11086997774500003,1,0.08333333333333333,0.25,0.9683236479759216,1.0,1.0
SUMMARY_12,radians_pi,TRUNCATE_TOWARD_ZERO,3,12,0,0.0,0.1,1.0,3,0.25,0.168,0.3273149752080022,1.0,1.0
SUMMARY_12,radians_pi,TRUNCATE_TOWARD_ZERO,4,12,0,0.0,0.01,1.0,2,0.16666666666666666,0.1229,0.44414812725181363,1.0,1.0
SUMMARY_12,radians_pi,TRUNCATE_TOWARD_ZERO,5,12,0,0.0,0.01,1.0,2,0.16666666666666666,0.09592,0.3221826725125815,1.0,1.0
SUMMARY_12,radians_pi,TRUNCATE_TOWARD_ZERO,6,12,0,0.0,0.001,1.0,2,0.16666666666666666,0.078498,0.24180071003650278,1.0,1.0
