run_id,archive_member,source_sha256,nominal_displacement_mm,frequency_hz,cycle,observed_amplitude_mm,gain_kn_per_mm,phase_deg,loop_area_j,maximum_branch_gap_kn
04,Data.v1.0.0/02_SMAWD/04_8wires_sin40mm_0p1Hz.csv,5679bbdf4585f9dd92b1c0b2aa461da103718055fff262c5c39422c5a68d924a,40.0,0.1,10,40.0725365,0.7886134689846999,4.184701722219415,307.7360973516643,6.097515945686222
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,1,40.035734,0.8464084691756247,6.511082273875246,524.4903891999086,8.856765917703058
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,2,40.054405,0.8353687077965576,5.753569390363197,422.27504810354253,7.193149589794835
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,3,40.0499595,0.8316866790474605,5.179017318958927,377.83984636610694,6.588253679785325
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,4,40.0565895,0.8316530523092522,4.875870235101132,355.49640638007304,6.51209148205942
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,5,40.045849000000004,0.8333406755068234,4.7123146545992824,344.0970268599348,6.335314676918948
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,6,40.0460015,0.8354574402940209,4.580637071139506,335.08108535148585,6.10898045929265
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,7,40.046167499999996,0.8375144243516259,4.486087766648154,328.8885169338496,6.061450530395531
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,8,40.048975,0.8397312561097241,4.417018325330048,324.519190578172,6.029992074267319
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,9,40.051193,0.8422176856971606,4.352902908227065,320.5997092615313,6.350442524126363
05,Data.v1.0.0/02_SMAWD/05_8wires_sin40mm_0p5Hz.csv,84f9df9677edc5370d5a921cf779cd4eebe868ec7d65b9b00db347556088ca9a,40.0,0.5,10,40.053287499999996,0.8429256116501244,4.405346469183684,317.4760938084288,5.962583853501
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,2,40.0694825,0.8729953973703272,5.648223086977254,431.14889701553227,7.7352156619328944
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,3,40.05683500000001,0.8731527254985739,5.28412436383735,402.63725501144415,7.377754359818532
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,4,40.054577,0.876331166589285,5.109201484770097,390.44335436511824,8.013132024058017
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,5,40.037771,0.8803476112363606,5.004849354878473,383.5450178748208,7.517492859086529
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,6,40.052589499999996,0.8844611917160606,4.919778732699427,378.76874698805443,7.295775627848583
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,7,40.0541935,0.8885988928374804,4.872007554614839,376.4843518886545,7.218057580943093
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,8,40.064114000000004,0.8926587998849911,4.81293416548732,373.17220859527833,7.443060151662104
06,Data.v1.0.0/02_SMAWD/06_8wires_sin40mm_1p0Hz.csv,6278de78bace57dca28aed5dd9e1912d6494aa2da1accf1ba7350d186d3e3b0d,40.0,1.0,9,40.057914499999995,0.8968207894136841,4.793917432241017,372.76996735617024,7.600981311947881
